ds,forecast,item
2024-12-31,2162.3247290180925,Алтей корни 75г
2025-01-31,2189.7690160073976,Алтей корни 75г
2024-12-31,8530.241224736692,Багульник болотный побеги 50г
2025-01-31,7790.547678834752,Багульник болотный побеги 50г
2024-12-31,8483.326357505264,Береза почки 50г
2025-01-31,7673.243614347942,Береза почки 50г
2024-12-31,6111.393535293266,Аир корневища 75г
2025-01-31,6137.514578681179,Аир корневища 75г
2024-12-31,15936.979445785459,Бессмертник песчаный цветки 30г
2025-01-31,16675.168075901707,Бессмертник песчаный цветки 30г
2024-12-31,16701.656403433393,Боярышник плоды 75г
2025-01-31,17185.933950962502,Боярышник плоды 75г
2024-12-31,1710.3118055891957,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-31,1607.9261934620015,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-31,11214.059069899393,Брусника листья 50г
2025-01-31,11496.646961201885,Брусника листья 50г
2024-12-31,12140.881672227593,Валериана корневища с корнями 50г
2025-01-31,10352.950009646298,Валериана корневища с корнями 50г
2024-12-31,10256.305847907919,Девясил корневища и корни 50г
2025-01-31,8959.353274017501,Девясил корневища и корни 50г
2024-12-31,44537.399833898184,Дуба кора 75г
2025-01-31,48930.24345557809,Дуба кора 75г
2024-12-31,25293.07369809664,Зверобой трава 50г
2025-01-31,22150.279302524123,Зверобой трава 50г
2024-12-31,11717.189822903098,Крапива листья 50г
2025-01-31,10913.556032927288,Крапива листья 50г
2024-12-31,7072.017562083265,Ламинарии слоевища (морская капуста) 100г
2025-01-31,7318.8567685617745,Ламинарии слоевища (морская капуста) 100г
2024-12-31,15132.509809942107,Кукуруза столбики с рыльцами 40г
2025-01-31,17679.05280479008,Кукуруза столбики с рыльцами 40г
2024-12-31,36379.15980139769,Лен семена 100г
2025-01-31,38435.29570900177,Лен семена 100г
2024-12-31,7065.889158776838,Крушина кора 50г
2025-01-31,7182.5079103378375,Крушина кора 50г
2024-12-31,8573.744188262124,Липа цветки 35г
2025-01-31,8296.620679663287,Липа цветки 35г
2024-12-31,12248.701780490566,Мать-и-мачеха листья 35г
2025-01-31,12052.750293436833,Мать-и-мачеха листья 35г
2024-12-31,7008.343912851141,Можжевельник плоды 50г
2025-01-31,6965.786008370106,Можжевельник плоды 50г
2024-12-31,13597.852364539223,Мята перечная листья 50г
