ds,forecast,item
2024-12-21,368.94811618170195,Багульник болотный побеги 50г
2024-12-22,315.8458653159528,Багульник болотный побеги 50г
2024-12-23,310.9236291485241,Багульник болотный побеги 50г
2024-12-24,314.2415504439812,Багульник болотный побеги 50г
2024-12-25,306.824956925977,Багульник болотный побеги 50г
2024-12-26,315.15638046358595,Багульник болотный побеги 50г
2024-12-27,319.48421915241437,Багульник болотный побеги 50г
2024-12-28,307.59952877127216,Багульник болотный побеги 50г
2024-12-29,318.7756143357459,Багульник болотный побеги 50г
2024-12-30,302.81734635314285,Багульник болотный побеги 50г
2024-12-31,298.3786346323384,Багульник болотный побеги 50г
2025-01-01,290.71752124685,Багульник болотный побеги 50г
2025-01-02,309.883687744147,Багульник болотный побеги 50г
2025-01-03,310.49669538581367,Багульник болотный побеги 50г
2025-01-04,311.01372018405937,Багульник болотный побеги 50г
2025-01-05,310.6647273719228,Багульник болотный побеги 50г
2025-01-06,310.9472847106149,Багульник болотный побеги 50г
2025-01-07,310.72202979333656,Багульник болотный побеги 50г
2025-01-08,310.90182225923496,Багульник болотный побеги 50г
2025-01-09,310.75833058159765,Багульник болотный побеги 50г
2025-01-10,310.872851616653,Багульник болотный побеги 50г
2025-01-11,310.781452172981,Багульник болотный побеги 50г
2025-01-12,310.8543982365706,Багульник болотный побеги 50г
2025-01-13,310.79617984968394,Багульник болотный побеги 50г
2025-01-14,310.84264405084747,Багульник болотный побеги 50г
2025-01-15,310.8055608868307,Багульник болотный побеги 50г
2025-01-16,310.8351570279256,Багульник болотный побеги 50г
2025-01-17,310.81153629353213,Багульник болотный побеги 50г
2025-01-18,310.83038804489723,Багульник болотный побеги 50г
2025-01-19,310.8153424276183,Багульник болотный побеги 50г
2025-01-20,310.82735036231463,Багульник болотный побеги 50г
2025-01-21,310.8177668076489,Багульник болотный побеги 50г
2025-01-22,310.82541546017353,Багульник болотный побеги 50г
2025-01-23,310.81931105659027,Багульник болотный побеги 50г
2025-01-24,310.82418299226623,Багульник болотный побеги 50г
2025-01-25,310.8202946914835,Багульник болотный побеги 50г
2025-01-26,310.823397951457,Багульник болотный побеги 50г
2025-01-27,310.8209212339906,Багульник болотный побеги 50г
2025-01-28,310.82289790673497,Багульник болотный побеги 50г
2025-01-29,310.8213203205987,Багульник болотный побеги 50г
2025-01-30,310.82257939498237,Багульник болотный побеги 50г
2025-01-31,310.8215745254116,Багульник болотный побеги 50г
2024-12-21,203.2673659039421,Аир корневища 75г
2024-12-22,203.64258838995408,Аир корневища 75г
2024-12-23,202.98807295294128,Аир корневища 75г
2024-12-24,189.14817004302233,Аир корневища 75г
2024-12-25,200.36152473791304,Аир корневища 75г
2024-12-26,204.8400774648635,Аир корневища 75г
2024-12-27,204.7674445170645,Аир корневища 75г
2024-12-28,198.30130986625866,Аир корневища 75г
2024-12-29,200.4876410048862,Аир корневища 75г
2024-12-30,197.49152516809318,Аир корневища 75г
2024-12-31,203.49873184588571,Аир корневища 75г
2025-01-01,200.2471273959836,Аир корневища 75г
2025-01-02,201.8100931114812,Аир корневища 75г
2025-01-03,201.44997745246505,Аир корневища 75г
2025-01-04,201.5519861223772,Аир корневища 75г
2025-01-05,202.30719919718055,Аир корневища 75г
2025-01-06,201.68291338369605,Аир корневища 75г
2025-01-07,201.42270128005498,Аир корневища 75г
2025-01-08,201.42920949409836,Аир корневища 75г
2025-01-09,201.7957975915284,Аир корневища 75г
2025-01-10,201.67193376812145,Аир корневища 75г
2025-01-11,201.8420801958536,Аир корневища 75г
2025-01-12,201.5006495887539,Аир корневища 75г
2025-01-13,201.68546951108445,Аир корневища 75г
2025-01-14,201.59662930844448,Аир корневища 75г
2025-01-15,201.6170958725815,Аир корневища 75г
2025-01-16,201.61129921389016,Аир корневища 75г
