item,p,d,q,P,D,Q,m
Багульник болотный побеги 50г,2,1,2,0,0,1,12
Аир корневища 75г,2,1,2,1,0,1,12
Береза почки 50г,1,1,1,0,0,1,12
Брусника листья 50г,2,1,0,0,0,0,12
Алтей корни 75г,2,1,2,1,0,1,12
Боярышник плоды 75г,2,1,2,1,0,1,12
Бессмертник песчаный цветки 30г,2,1,2,1,0,1,12
"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы",0,0,0,0,0,0,12
Валериана корневища с корнями 50г,0,1,1,0,0,1,12
Девясил корневища и корни 50г,2,1,1,0,0,0,12
Дуба кора 75г,2,1,1,0,0,1,12
Зверобой трава 50г,2,1,2,0,0,1,12
Крушина кора 50г,2,1,0,0,0,0,12
Крапива листья 50г,2,1,1,1,0,0,12
Лен семена 100г,2,1,2,0,0,1,12
Кукуруза столбики с рыльцами 40г,2,1,2,1,0,1,12
Ламинарии слоевища (морская капуста) 100г,2,1,1,0,0,1,12
Мята перечная листья 50г,2,1,1,0,0,1,12
Можжевельник плоды 50г,2,1,0,1,0,1,12
Липа цветки 35г,1,1,1,1,0,1,12
Мать-и-мачеха листья 35г,1,1,1,1,0,1,12
Ноготки цветки 50г,2,1,0,0,0,0,12
Пижма цветки 75г,2,1,0,1,0,1,12
Полынь горькая трава 50г,2,1,0,1,0,1,12
Пустырник трава 50г,2,1,0,0,0,0,12
Подорожник большой листья 50г,0,1,2,0,0,1,12
Ромашка цветки вн 50г,0,1,1,0,0,0,12
Рябина плоды 50г,2,1,0,0,0,1,12
Сб. Фитогепатол №2 (Желчегонный сбор №2) 35г,2,1,0,0,0,0,12
Сб. Фитопектол №1 (Грудной сбор №1) 35г,0,1,2,0,0,0,12
Сб. Грудной №4 50г,1,1,1,0,0,1,12
Сенна листья 50г,2,1,0,1,0,1,12
Сб. Фитопектол №2 (Грудной сбор №2) 35г,2,1,2,1,0,0,12
Спорыш трава 50г,1,1,2,1,0,0,12
Толокнянка листья 50г,2,1,0,1,0,1,12
Солодка корни 50г,0,1,2,0,0,0,12
Тысячелистник трава 50г,1,1,1,1,0,1,12
"Фп ""ВердиоГаст® Фиточай для улучшения пищеварения с черным чаем"" (БАД) 20*1,5г",0,1,1,0,0,0,12
Укроп пахучий плоды 50г,2,1,0,1,0,1,12
